AtomNumber, Name, Symbol, LatinName
1, Brint, H, Hydrogenium
2, Helium, He, Helium
3, Lithium, Li, Lithium
4, Beryllium, Be, Beryllium
5, Bor, B,  Boracium
6, Carbon, C, Carbonium
7, Kvælstof, N, Nitrogenium
8, Ilt, O, Oxygenium
9, Flour, F, Fluorum
10, Neon, Ne, Neon
11, Natrium, Na, Natrium
12, Magnesium, Mg, Magnesium
13, Aluminium, Al, Aluminium
14, Silicium, Si, Silicium
15, Fosfor, P, Phosphorus
16, Svovl, S, Sulphur
17, Klor, Cl, Chlorum
18, Argon, Ar, Argon
19, Kalium, K, Kalium
20, Calcium, Ca, Calcium
21, Scandium, Sc, Scandium
22, Titan, Ti, Titanium,
23, Vanadium, V, Vanadium
24, Chrom, Cr, Chromium
25, Mangan, Mn, Manganum
26, Jern, Fe, Ferrum
27, Kobolt, Co, Cobaltum
28, Nikkel, Ni, Niccolum
29, Kobber, Cu, Cuprum
30, Zink, Zn, Zincum
31, Gallium, Ga, Gallium
32, Germanium, Ge, Germanium
33, Arsen, As, Arsenicum
34, Selen, Se, Selenium
35, Brom, Br, Bromum
36, Krypton, Kr, Krypton
37, Rubidium, Rb, Rubidium
38, Strontium, Sr, Storntium
39, Yttrium, Y, Yttrium
40, Zirkon, Zr, Zirconium
41, Niob, Niobium
42, Molybdæn, Mo, Molybdenum
43, Teknetium, Tc, Technetium
44, Rutenium, Ru, Ruthenium
45, Rodium, Rh, Rhodium
46, Palladium, Pd, Palladium
47, Sølv, Ag, Argentum
48, Kadmium, Cd, Cadmium
49, Indium, In, Indium
50, Tin, Sn, Stannum
51, Antimon, Sb, Stibium
52, Tellur, Te, Tellurium,
53, Jod, I, Iodium
54, Xenon, Xe, Xenon
55, Cæseium, Cs, Caesium
56, Barium, Ba, Barium
57, Lantan, La, Lanthanum
58, Cerium, Ce, Cerium
59, Praseodym, Pr, Praseodymium
60, Neodym, Nd, Neodymium
61, Prometium, Pm, Promethium
62, Samarium, Sm, Samarium
63, Europium, Eu, Europium
64, Gadalinium, Gd, Gadolinium
65, Terbiun, Tb, Terbium
66, Dysprosium, Dy, Dysprosium,
67, Holmium, Ho, Holmium
68, Erbium, Er, Erbium
69, Tulium, Tm, Thulium
70, Ytterbium, Yb, Ytterbium
71, Lutetium, Lu, Lutetium,
72, Hafnium, Hf, Hafnium
73, Tantal, Ta, Tantalum
74, Wolfram, W, Wolframium
75, Rhenium, Re, Rhenium
76, Osmium, Os, Osmium
77, Iridium, Ir, Iridium
78, Platin, Pt, Platinium
79, Guld, Au, Aurum
80, Kviksølv, Hg, Hydrargentum
81, Tallium, Tl, Thallium
82, Bly, Pb, Plumbum
83, Vismut, Bi, Bismuthum
84, Polonium, Po, Polonium
85, Astat, At, Astatium
86, Radon, Rn, Radon
87, Frencium, Fr, Francium
88, Radium, Ra, Radium
89, Aktinium, Ac, Actinium
90, Torium, Th ,Thorium
91, Protaktinium, Pa, Protactinium
92,Uran, U, Uranium
93, Neptunium, Np, Neptunium
94, Plutonium, Pu, Plutonium
95, Americium, Am, Americium
96, Curium, Cm, Curium
97, Berkelium, Bk, Berkelium
98, Californium, Cf, Californium
99, Einsteinium, Es, Einsteinium
100, Fermium, Fm, Fermium
101, Mendelejevium, Md, Mendelevium
102, Nobelium, No, Nobelium
103, Lawrencium, Lr, Lawrencium
104, Rutherfordium, Rf, Rutherfordium
105, Dubnium, Db, Dubnium
106, Seaborgium, Sg, Seaborgium
107, Bohrium, Bh, Bohrium
108, Hassium, Hs, Hassium
109, Meitnerium, Mt, Meitnerium
110, Darmstadtium, Ds, Darmstadtium
111, Røntgenium, Rg, Roentgenium
112, Kopernikium, Cn, Copernicium
113, Nihonium, Nh, Nihonium
114, Flerovium, Fl, Flerovium
115, Moscovium, Mc, Moscovium
116, Livermorium, Lv, Livermorium
117, tennessine, Ts, Tennessine
118, Oganesson, Og, Oganesson
119, Ununennium, Uue, Ununennium
120, Unbinilum, Ubn, Unbinilum
121, Unbiunium, Ubu, Unbiunium
